,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
30251,039913039X,Skeleton Crew,Stephen King,1985,Putnam Pub Group
30352,0452279178,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,1997,Plume Books
30436,0395257301,The Silmarillion,J. R. R. Tolkien,1977,Houghton Mifflin Company
30497,0345310594,Interview with the Vampire,Anne Rice,1981,Ballantine Books
30534,0345444884,The Talisman,STEPHEN KING,2001,Ballantine Books
30536,0312982585,Cry Wolf,Wilbur Smith,2001,St. Martin's Paperbacks
30554,0312925883,Not Without My Daughter,Betty Mahmoody,1993,St. Martin's Press
30645,0099479419,Ladder of Years,Anne Tyler,0,Trafalgar Square
30680,0688149111,The Best Laid Plans,Sidney Sheldon,1997,William Morrow &amp; Company
30684,0743215052,The Constant Gardener,John le Carre,2000,Scribner
30685,0060193344,Burn Factor,Kyle Mills,2001,HarperCollins Publishers
30691,1586211978,Violets Are Blue,James Patterson,2001,Time Warner Audio Major
30696,0385311214,A Dangerous Fortune,Ken Follett,1993,Bantam Dell Pub Group
30713,0446675539,Gone with the Wind,Margaret Mitchell,1999,Warner Books
30774,0060008032,Angels,Marian Keyes,2003,HarperTorch
30813,0385489501,Sister of My Heart,Chitra Banerjee Divakaruni,1999,Bantam Dell Pub Group
30904,0553584707,Catering to Nobody,Diane Mott Davidson,2002,Bantam Books
31017,0446600415,The Day After Tomorrow,Allan Folsom,1995,Warner Books
31115,0446608602,Personal Injuries,Scott Turow,2000,Warner Vision
31229,0140862102,A Maiden's Grave,Jeff Deaver,1995,Penguin Highbridge Audio
31369,0345019520,Sphere,Michael Crichton,1993,Ballantine Books
31390,044021422X,Jewels,Danielle Steel,1993,Dell
31486,0553714147,Standing in the Rainbow,FANNIE FLAGG,2002,Random House Audio
31649,044651974X,Strange Highways,Dean R. Koontz,1995,Warner Books
31659,0385296495,Zoya,Danielle Steel,1988,Delacorte Press
31688,0345447859,The Apprentice,TESS GERRITSEN,2002,Ballantine Books
31689,0385299079,Message from Nam,DANIELLE STEEL,1990,Delacorte Press
31697,0449908631,The Homing,John Saul,1994,Ballantine Books
31722,037321829X,Body of Evidence,Joan Elliot Pickart,2003,Silhouette Books
31734,0743407075,Grand Avenue,Joy Fielding,2001,Atria
31739,0786889616,Parallel Lies,Ridley Pearson,2002,Hyperion Press
31758,044021596X,Heartbreaker,KAREN ROBARDS,1998,Dell
31769,0679419829,Stormy Weather,Carl Hiaasen,1995,Alfred A. Knopf
31797,042516313X,Breathing Lessons,Anne Tyler,1998,Berkley Publishing Group
31810,0590348086,Abduction,Rodman Philbrick,1998,Scholastic
31924,0385292597,Changes,Danielle Steel,1983,Delacorte Press
31959,0440236991,Leap of Faith,Danielle Steel,2002,Dell Publishing Company
31967,0312960344,Pandora's Clock,John J. Nance,1996,St. Martin's Press
31978,0684814994,Christmas Box (Christmas Box Trilogy),Richard Paul Evans,1995,Simon &amp; Schuster
32048,0425098605,The Vision,Dean R. Koontz,1997,Berkley Publishing Group
32050,0440194903,When the Wind Blows,John Saul,1990,Dell
32057,0553582917,Intensity,DEAN KOONTZ,2000,Bantam
32178,0312973063,Safe Harbor,Antoinette Stockenberg,2000,St. Martin's Press
32298,1551668874,Heartbreaker,Linda Howard,2002,Mira
32307,0671664581,Go Ask Alice,Anonymous,1971,Simon &amp; Schuster Children's Publishing
32338,0671776126,Plain Truth,Jodi Picoult,2000,Atria
32345,0385295944,Kaleidoscope,DANIELLE STEEL,1987,Delacorte Press
32369,0671025333,Empty Promises,Ann Rule,2000,Pocket
32380,0060263865,Charlotte's Web,E. B. White,1952,HarperCollins
32392,0553110632,Cloud Nine,Luanne Rice,1999,Bantam Dell Pub Group
32397,0425172996,Vector,Robin Cook,2000,Berkley Publishing Group
32402,0385315309,Five Days in Paris,DANIELLE STEEL,1995,Delacorte Press
32423,039914014X,Home Song,Lavyrle Spencer,1995,Putnam Pub Group
32427,0553278355,The Bell Jar,Sylvia Plath,1983,Bantam
32454,0399148027,Blue Diary,Alice Hoffman,2001,G. P. Putnam's Sons
32459,0821753606,Whispers,Lisa Jackson,1996,Zebra Books
32461,0525934251,Bastard Out of Carolina,Dorothy Allison,1992,Dutton Books
32500,0399143955,The Target,Catherine Coulter,1998,Putnam Pub Group
32617,0553110942,Carnal Innocence,Nora Roberts,2000,Bantam Books
32620,1551669293,204 Rosewood Lane,Debbie Macomber,2002,Mira
32644,0440166497,Once in a Lifetime,Danielle Steel,1983,Dell
32651,0821746480,The Gift,Constance O'Day-Flannery,1994,Zebra Books
32684,0739416537,Dreamcatcher,Stephen King,0,Scribner
32689,0399150439,Naked Prey,John Sandford,2003,Putnam Publishing Group
32745,0385410646,Chocolat,Joanne Harris,1999,Doubleday
32772,0749336021,The Joy Luck Club,Amy Tan,1994,Minerva
32824,0380786788,Atlantis Found,R. Garcia Y. Robertson,1997,Harper Mass Market Paperbacks (Mm)
33344,0399136150,The Sum of All Fears,Tom Clancy,1991,Putnam Publishing Group
33399,1573226122,Lord of the Flies,William Golding,1997,Riverhead Books
33409,0613371895,Matilda,Roald Dahl,2001,Viking Children's
33482,0553408453,Playing for the Ashes,Elizabeth George,0,Bantam Doubleday Dell
33529,1551668300,16 Lighthouse Road,Debbie Macomber,2001,Mira
33616,0613033191,The Deep End of the Ocean,Jacquelyn Mitchard,1999,Bt Bound
33642,1860491022,I Capture the Castle,Dodie Smith,1996,Trafalgar Square
33667,0385334702,After the Fire,Belva Plain,2000,Delacorte Press
33676,0751514152,Shadows,Shaun Hutson,1990,"Acacia Press, Inc."
33737,0140325670,Anne of the Island,L.M. Montgomery,1992,Puffin Books
33800,0380788624,Cryptonomicon,Neal Stephenson,2000,Perennial
33850,0061097640,I Know This Much Is True,Wally Lamb,1999,ReganBooks
34128,0553235109,Secrets,Anna Aaron,1983,Bantam Books
34191,0385234104,Fatherhood,Bill Cosby,1986,Bantam Dell Pub Group
34207,0399140557,Practical Magic,Alice Hoffman,1995,Putnam Pub Group
34214,0385304900,Jewels,Danielle Steel,1992,Delacorte Press
34215,038531695X,The Ghost,Danielle Steel,1997,Dell
34223,0688084915,Nothing Lasts Forever,Sidney Sheldon,1994,Harpercollins Childrens Books
34224,0688121004,The Stars Shine Down,Sidney Sheldon,1992,Harpercollins
34225,0688166911,Tell Me Your Dreams,Sidney Sheldon,1998,William Morrow
34227,0688084893,The Doomsday Conspiracy,Sidney Sheldon,1991,William Morrow &amp; Company
34232,0064407683,"The Wide Window (A Series of Unfortunate Events, Book 3)",Lemony Snicket,2000,HarperCollins
34240,0451188764,Rose Madder,Stephen King,1996,New Amer Library
34256,0670805149,Lake Wobegon Days,Garrison Keillor,1985,Penguin USA
34290,0743477154,Postmortem,Patricia Cornwell,2003,Pocket
34320,0451200101,The Experiment,John Darnton,2000,Signet Book
34322,0451176723,Mitigating Circumstances,Nancy Taylor Rosenberg,1993,Signet Book
34365,0679401431,The Last Don,Mario Puzo,1996,Random House Inc
34463,0446604402,The Laws of Our Fathers,Scott Turow,1997,Warner Books
34470,0449911020,The First Horseman,John Case,1998,Ballantine Books
34492,0425171396,"Hidden Agendas (Tom Clancy's Net Force, No. 2)",Tom Clancy,1999,Berkley Publishing Group
34507,0395404258,The Handmaid's Tale,Margaret Atwood,1986,Houghton Mifflin
34705,0399236295,"Redwall (Redwall, Book 1)",Brian Jacques,2000,Philomel Books
34747,0060179457,Honor Among Thieves,Jeffrey Archer,1993,Harpercollins
34764,0330306065,The Talisman,Lynda La Plante,1988,Trans-Atlantic Publications
34787,052594575X,The Hearing,John T. Lescroart,2001,Dutton Books
34901,0843950293,Violets Are Blue,Ronda Thompson,2002,Leisure Books
34912,0061094129,Legal Tender,Lisa Scottoline,1997,HarperTorch
35023,0515119644,The Judge,Steven Paul Martini,1996,Jove Books
35059,0552999458,Dead Famous,Ben Elton,2002,"Black Swan Books, Limited"
35065,0061054259,Summer Light,Elyse Guttenberg,1995,Harpercollins
35102,0671774670,Mother of Pearl (Oprah's Book Club (Paperback)),Melinda Haynes,2000,Washington Square Press
35218,3426616904,About a Boy,Nick Hornby,2002,Distribooks
35237,0671880594,Until You,Judith McNaught,1994,Pocket Books
35359,0060195703,Long Time No See,Susan Isaacs,2001,HarperCollins Publishers
35420,0425071278,Night Chills,Dean R. Koontz,1983,Berkley Publishing Group
35502,0679403612,Saint Maybe,Anne Tyler,1991,Random House Inc
35518,0399146334,Easy Prey,John Sandford,2000,Putnam Berkley Audio
35524,0380447436,No Greater Love,Patricia Gallagher,1979,Avon Books
35542,0553472348,The Chamber,John Grisham,1994,Random House Audio
35575,0618101365,Interpreter of Maladies,Jhumpa Lahiri,2000,Houghton Mifflin Company
35585,0099760118,Beloved,Toni Morrison,0,Vintage Books
35589,0140295569,High Fidelity,Nick Hornby,2001,Penguin Books Ltd
35638,0060198753,Moving Target,Elizabeth Lowell,2001,William Morrow &amp; Company
35643,0425137562,Silent Prey,John Sandford,2000,Berkley Publishing Group
35790,0694521108,Mistaken Identity,Lisa Scottoline,1999,HarperAudio
35803,0553584375,No One to Trust,IRIS JOHANSEN,2003,Bantam
35810,0743467132,High Tide,Jude Deveraux,2003,Pocket
35814,1551662736,Rising Tides,Emilie Richards,1997,Mira
35824,0671776800,Paradise,Judith McNaught,1992,Pocket
35851,0515118559,True Betrayals,Nora Roberts,1996,Jove Books
35945,055323224X,A Separate Peace,John Knowles,1975,Bantam Pr Ltd
36012,0394549953,Ransom,Jay McInerney,1985,Random House Inc
36026,0670822485,Summer Light,Roxana Robinson,1988,Penguin USA
36111,0804105979,The Midnight Club,James Patterson,1990,Ivy Books
36117,0688058914,Lie Down With Lions,Ken Follett,1986,Smithmark Pub
36163,0385299281,Whispers,Belva Plain,1993,Bantam Dell Pub Group
36167,1560549785,Cold Fire,Dean R. Koontz,1992,Thorndike Press
36207,0786865644,Parallel Lies,Ridley Pearson,2001,Hyperion
36224,0380702843,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy
36334,1551669056,Between Friends,Debbie Macomber,2002,Mira
36376,0425046877,Dune,Frank Herbert,1980,Berkley Publishing Group
36464,0099427869,Illusions,Richard Bach,2001,Arrow
36475,0671670638,Gates of Paradise,V. C. Andrews,1989,Simon &amp; Schuster
36535,0525937935,The Quiet Game,Greg Iles,1999,Dutton Books
36576,0739423738,Pendragon,Catherine Coulter,2002,Jove
36671,0425182673,"Cybernation (Tom Clancy's Net Force, No. 6)",Steve Perry,2001,Berkley Publishing Group
36754,0451167538,Different Seasons (Signet),Stephen King,2004,Signet Book
36936,0151885338,The Temple of My Familiar,Alice Walker,1989,Harcourt
37072,0821767984,The Secret,Kat Martin,2001,Zebra Books
37102,0061093327,Low Country,Anne Rivers Siddons,1999,HarperTorch
37231,0451206711,Orchid Blues (Holly Barker Novels (Paperback)),Stuart Woods,2002,Signet Book
37242,0312857055,"Wizard's First Rule (Sword of Truth, Book 1)",Terry Goodkind,1994,Tor Books
37407,0312993501,Wild Justice,Wilbur Smith,2003,St. Martin's Press
37451,0385260083,The Robber Bride,Margaret Atwood,1993,Doubleday Books
37452,1586212230,Naked,David Sedaris,2001,Time Warner Audio Major
37512,039452764X,Space,James Michener,1982,Random House
37564,0380976188,Lucy Sullivan Is Getting Married,Marian Keyes,1999,William Morrow &amp; Company
37594,0399133194,Lightning,Dean R. Koontz,1988,Putnam Pub Group
37600,0310241634,Christy,Catherine Marshall,2001,Zondervan Publishing Company
37602,0553100742,Critical Judgment,Michael Palmer,1996,Bantam
37641,0684859718,Deadly Decisions,Kathy Reichs,2000,Scribner
37911,0553801198,Dream Country,Luanne Rice,2001,Bantam Books
37937,0425165299,At Risk,Alice Hoffman,1998,Berkley Publishing Group
37950,0670032565,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,2003,Viking Books
37983,0425146812,Second Nature,Alice Hoffman,1995,Berkley Publishing Group
38014,0785700099,All Around the Town,Mary Higgins Clark,1999,Sagebrush Bound
38043,0553560271,Shadows,John Saul,1993,Bantam Books
38048,0865471185,West With the Night,Beryl Markham,1983,North Point Press
38053,0399128409,Smart Women,Judy Blume,1983,Putnam Pub Group
38069,0060001941,A Tree Grows in Brooklyn,Betty Smith,2001,HarperCollins
38073,0425152499,Practical Magic,Alice Hoffman,1996,Berkley Publishing Group
38082,1567404731,The Valley of Horses,Jean M. Auel,1999,Brilliance Audio
38129,0446530891,Split Second,David Baldacci,2003,Warner Books
38137,051513113X,The Edge,Dick Francis,2001,Jove Books
38154,0395346460,The Silmarillion,J. R. R. Tolkien,1983,Houghton Mifflin
38168,0671522906,Mind Prey,John Sanford,1995,Audioworks
38180,0316733741,The Beach House,James Patterson,2002,"Little, Brown"
38254,0394584082,The Bourne Ultimatum,Robert Ludlum,1990,Random House Inc
38256,0764225111,Sanctuary,Beverly Lewis,2001,Bethany House Publishers
38257,0613271785,Tara Road,Maeve Binchy,2000,Sagebrush Bound
38270,0399142649,The Maze,Catherine Coulter,1997,Putnam Publishing Group
38600,009927454X,Midnight in the Garden of Good and Evil,J. Berendt,1997,Vintage
38614,0316154059,City of Bones,Michael Connelly,2002,Warner Books
38630,0399138994,Mr. Murder,Dean R. Koontz,1993,Putnam Pub Group
38722,1860491308,Flesh and Blood,Michele Roberts,1995,Time Warner Books UK
38753,0345315588,Childhood's End,Arthur Charles Clarke,1983,Del Rey Books
38802,0060541814,The Andromeda Strain,Michael Crichton,2003,Avon Books
38823,0399145222,Black Notice,Patricia Daniels Cornwell,1999,Putnam Publishing Group
38824,0316899992,"River, Cross My Heart",Breena Clarke,1999,Little Brown and Company
38972,0380009951,Night,Elie Wiesel,1973,Harper Mass Market Paperbacks (Mm)
38991,0449209628,The Chosen,Chaim Potok,1985,Ballantine Books
39016,074754364X,While I Was Gone,Miller Sue,1999,Bloomsbury Publishing Plc
39129,0452266564,The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty),Rice Anne,1999,Plume Books
39137,0345293010,Ringworld,Larry Niven,1981,Ballantine Books
39153,0671000853,Night Whispers,Judith McNaught,1998,Atria
39156,0743406184,If Only It Were True,Marc Levy,2001,Pocket
39168,0440242002,Bleachers,JOHN GRISHAM,2004,Dell
39246,0670844543,The Forest House,Marion Zimmer Bradley,1994,Penguin USA
39330,0743418131,Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket
39473,0374120803,Charming Billy,Alice McDermott,1998,Farrar Straus Giroux
39524,0446676071,Message in a Bottle,Nicholas Sparks,1999,Warner Books
39531,0380001225,84 Charing Cross Road,Helene Hanff,1987,Avon Books
39689,0812507169,Paradise,Mike Resnick,1993,Tor Books (Mm)
39712,0385334621,The Greatest Generation,TOM BROKAW,2001,Delta
39913,0399138021,Prime Witness,Steven Paul Martini,1993,Putnam Pub Group
39935,0553840215,Fear Nothing,Dean R. Koontz,1998,Bantam Books
39947,0446354732,Nothing Lasts Forever,Sidney Sheldon,1995,Warner Books
39967,0374234574,Pleading Guilty,Scott Turow,1993,Farrar Straus Giroux
40004,0965605914,I Know This Much Is True,Wally Lamb,0,Reganbooks
40130,0590208330,Hiroshima,Laurence Yep,1996,Scholastic
40170,0752837680,Still Waters,Tami Hoag,2000,Orion mass market paperback
40207,0399136452,Blindsight,Robin Cook,1991,Putnam Pub Group
40436,0399140093,Mind Prey,John Sandford,1995,Putnam Pub Group
40450,0380699745,Lightning,Ed McBain,1991,Harper Mass Market Paperbacks (Mm)
40597,0394563492,A Civil Action,Jonathan Harr,1995,Random House
40628,0399147381,Hemlock Bay,Catherine Coulter,2001,Penguin Putnam
40721,039548930X,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,1988,Houghton Mifflin Company
40722,0395489334,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1988,Houghton Mifflin Company
40723,0395489318,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,1988,Houghton Mifflin Company
40799,0060735457,The Lust Lizard of Melancholy Cove,Christopher Moore,2004,Perennial
40850,0553057014,Payment in Blood,Elizabeth George,1989,Bantam Dell Pub Group
40852,0446516317,The Witness,Sandra Brown,1995,Replica Books
40861,0440227151,A Wrinkle in Time,Madeleine L'Engle,1997,Random House Childrens Pub
40886,014130538X,Call of the Wild,Jack London,1999,Puffin Books
40978,0345379756,The Autobiography of Malcolm X,Malcolm X,1992,Ballantine Books
41014,0399137203,Turtle Moon,Alice Hoffman,1992,Putnam Pub Group
41129,0385333927,Pagan Babies,Elmore Leonard,2000,Delacorte Press
41204,0312866526,Waiting,Frank M. Robinson,1999,Forge
41234,0679449728,The Pull of the Moon,Elizabeth Berg,1996,Random House Inc
41284,0553153706,Time Flies,Florence Heide,1985,Yearling Books
41347,0452269652,Jazz (Plume Contemporary Fiction),Toni Morrison,1993,Plume Books
41440,1569471428,"Breath, Eyes, Memory",Edwidge Danticat,1998,Soho Press
41460,0881030376,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1999,Sagebrush Bound
41489,0525946446,Pen Pals,Olivia Goldsmith,2002,Dutton Books
41500,0880299185,Wuthering Heights,Emily Bronte,1992,Barnes &amp; Noble
41577,1580601200,Beloved,Toni Morrison,1987,Collectible First Editions
41651,039454689X,The Accidental Tourist,Anne Tyler,1985,Random House Inc
41688,0060187476,Mistaken Identity,Lisa Scottoline,1999,Harpercollins
41712,0590430033,Call of the Wild,Jack London,1987,Scholastic
41726,1562944002,Winter Solstice,Ellen B. Jackson,1994,Millbrook Press
41731,0895773287,A Tree Grows in Brooklyn,Betty Smith,1989,Reader's Digest Association
41732,0449002411,The Presence,John Saul,1998,Ballantine Books
41750,0913089257,Little Altars Everywhere,Rebecca Wells,1992,Small Pr Distribution
41770,0394572300,A Year in Provence,Peter Mayle,1990,Alfred A. Knopf
41782,0671014161,High Tide,Jude Deveraux,1999,Atria
41808,0385308752,Lost Souls,Poppy Z. Brite,1992,Bantam Dell Pub Group
41911,0531085880,Dreamcatcher,Audrey Osofsky,1992,Orchard Books (NY)
42066,0837876095,Between Friends,Lynne Gerard,1994,C.R. Gibson Company
42112,0385319673,Red Dragon,Thomas Harris,1998,Delta Trade Paperbacks
42151,0671448331,The Testament,Elie Wiesel,1981,Summit Books
42159,0452273307,Firestarter,Stephen King,1994,Penguin USA
42304,0099429284,The Godfather,Mario Puzo,2001,Arrow
42352,0440217490,A Dangerous Fortune,Ken Follett,1994,Island
42374,0521403979,The Color Purple,Alice Walker,1990,Cambridge University Press
42377,0749399570,The Joy Luck Club,Amy Tan,1991,Vintage
42394,0553350005,And Then There Were None,Agatha Christie,0,Bantam Doubleday Dell
42476,1587887150,The Beach,Alex Garland,2001,Brilliance Audio
42869,0060531045,One Hundred Years of Solitude,Gabriel Garcia Marquez,2003,HarperCollins
42870,0345915623,A Son of the Circus,John Irving,1999,Ballantine Books
42893,0739308920,Cold Mountain,CHARLES FRAZIER,2003,Random House Audio
42900,0749394803,Cat and Mouse,Gunter Grass,1998,Random House (UK)
42960,0316769533,The Catcher in the Rye,J.D. Salinger,1951,"Little, Brown"
43061,0743422910,The Constant Gardener,John le Carre,2001,Pocket
43102,1853715085,Watermelon,Marian Keyes,1995,Learning Links
43174,0399145060,The Edge,Catherine Coulter,1999,Putnam Pub Group
43187,0451401271,False Pretenses,Catherine Coulter,1989,Onyx Books
43365,0679460497,All over but the Shoutin',Rick Bragg,1997,Random House Audio Publishing Group
43380,B0001GMSV2,Find Me,Rosie O'Donnell,2002,Warner Books
43643,0671434004,Contact,Carl Sagan,1985,Simon Schuster Trade
43677,0684832828,Accordion Crimes,E. Annie Proulx,1996,Scribner Book Company
43706,0553263609,Nine Stories,J.D. Salinger,1984,Bantam Books
43735,0451160444,Christine,Stephen King,2004,Signet Book
43848,0671501488,Waiting to Exhale,Terry McMillan,1994,Washington Square Press
43871,0671891081,The Blessing,Jude Deveraux,1998,Atria
43878,0434074179,French Silk,Sandra Brown,1992,William Heinemann
43980,0553210181,Pride and Prejudice,Jane Austen,1981,Bantam Books
44033,0553584049,The Perfect Summer,Luanne Rice,2003,Bantam Books
44038,0451126505,Cujo,Stephen King,1982,New American Library
44040,0425097609,Whispers,Dean R. Koontz,1997,Berkley Publishing Group
44215,0807071390,Sole Survivor,Ruthanne Lum McCunn,1999,Beacon Press
44310,5551154718,Open House,Elizabeth Berg,2000,Random House
44315,074350884X,Envy,Sandra Brown,2001,Audioworks
44346,0553290789,Genuine Lies,Nora Roberts,1999,Bantam
44409,0399140786,The Dark Room,Minette Walters,1996,Putnam Pub Group
44533,1570426449,The Midnight Club,James Patterson,1999,Time Warner Audio Major
44543,0812532457,Colony,Ben Bova,1988,Tor Books
44548,0385334834,Writ of Execution,Perri O'Shaughnessy,2001,Delacorte Press
44550,0399148639,Mortal Prey,John Sandford,2002,Putnam Publishing Group
44599,0553755870,Jewels,Danielle Steel,2002,Random House Audio Publishing Group
44714,0446615145,The Lake House,James Patterson,2004,Warner Books
44879,0525945563,Red Dragon,Thomas Harris,2000,Dutton Books
45024,0446516325,Fat Tuesday,Sandra Brown,1997,Warner Books Inc
45033,0553208071,Night,Elie Wiesel,1982,Bantam Books
45376,0151660387,1984,George Orwell,1983,Harcourt
45403,042515601x,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group
45462,0451210743,Hornet Flight,Ken Follett,2003,Signet Book
45564,0451213599,Four Past Midnight,Stephen King,2004,Signet Book
45583,0679430628,Jurassic Park,Michael Crichton,1993,Random House Inc
45617,0613222407,Rainbow Six,Clancy Tom,1999,Sagebrush Bound
45662,0399134409,Clear and Present Danger,Tom Clancy,1989,Putnam Publishing Group
45663,039914207X,Chromosome 6,Robin Cook,1997,Putnam Publishing Group
45664,0449908623,Guardian,John Saul,1993,Ballantine Books
45667,039913591X,Cold Fire,Dean R. Koontz,1991,Putnam Publishing Group
45954,0440416582,The Promise,Jackie French Koller,2001,Yearling Books
46173,0871883937,Red Storm Rising,Sound Editions,1986,Random House Audio
46183,0553452991,The Firm,John Grisham,1991,Random House Audio
46184,155800470X,The Cat Who Moved a Mountain,Lilian Jackson Braun,1992,Audio Literature
46204,1570427119,Void Moon,Michael Connelly,2000,Time Warner Audio Major
46212,0140863222,The Regulators,Richard Bachman,1996,Penguin Highbridge Audio
46233,0821735926,No Greater Love,Julie Ellis,1991,Zebra Books
46268,0553502697,From the Corner of His Eye,DEAN KOONTZ,2000,Random House Audio
46321,1855940027,The Kiss,Linda Cullen,1991,Attic Press
46329,0385299095,No Greater Love,Danielle Steel,1991,Delacorte Press
46344,0373104766,Bitter Harvest,Anne Hampson,1982,Harlequin Books
46400,0553801279,A Traitor to Memory,Elizabeth George,2001,Bantam Books
46406,0739427113,The Other Boleyn Girl,Philippa Gregory,2001,Scribner
46559,0553455559,The Wedding,Danielle Steel,2000,Random House Audio Publishing Group
46560,0553712837,Skipping Christmas,John Grisham,2001,Bantam Books-Audio
46627,0192815032,Pride and Prejudice,Jane Austen,1987,Oxford University Press
46640,0425150984,Glory in Death,J. D. Robb,2004,Berkley Publishing Group
46691,0679419810,Strip Tease,Carl Hiaasen,1993,Random House Inc
46707,0345360001,The Mummy or Ramses the Damned,Anne Rice,1989,Ballantine Books
46843,2070512541,Matilda,Roald Dahl,2002,Contemporary French Fiction
46869,0061084409,The Beach House,Georgia Bockoven,1997,HarperTorch
47007,0425099261,Starship Troopers,Robert A. Heinlein,1986,Berkley Publishing Group
47206,0061087017,Legend,Sharon Sala,1998,HarperTorch
47272,0385316925,Fortune's Hand,Belva Plain,1999,Bantam Dell Pub Group
47342,0451406915,See How They Run,Marilyn Campbell,1996,Onyx Books
47566,0373272979,Last Man Standing,Wendy Rosnau,2003,Silhouette
47684,0380782413,Heartbeat,Joan Johnston,1997,Avon
47707,0345450728,Distant Shores,Kristin Hannah,2003,Ballantine Books
47804,055321859X,Illusions,Joan E. Pickart,1987,Bantam
47828,1551669390,Dark Water (Mira Romantic Suspense),Sharon Sala,2002,Mira
47829,0312953186,Flesh and Blood,James Neal Harvey,1996,St Martins Pr (Mm)
48169,1573227978,The Beach,Alex Garland,2000,Riverhead Books
48184,0425071804,"Dune Messiah (Dune Chronicles, Book 2)",Frank Herbert,1984,Berkley Publishing Group
48187,0425071790,"Children of Dune (Dune Chronicles, Book 3)",Frank Herbert,1984,Berkley Publishing Group
48228,0440295424,The Rainmaker,John Grisham,1996,Doubleday Books
48342,0425074986,"Dune Messiah (Dune Chronicles, Book 2)",Frank Herbert,1984,Penguin Putnam~mass
48575,0001382608,On the Road,Huck Scarry,1981,HarperCollins Publishers
48931,0916515982,Remember Me,Suzanne Lipsett,1991,Consortium Book Sales &amp; Dist
48969,0671032992,Heartbreaker,Julie Garwood,2000,Atria
49032,0553111248,Passage,Connie Willis,2001,Bantam Books
49071,044661162x,Chasing the Dime,Michael Connelly,2003,Warner Books
49072,0446611913,Up Country,Nelson DeMille,2003,Warner Vision
49102,0345272552,The Silmarillion,J. R. R. Tolkien,1979,Not Avail
49109,0380973464,Cryptonomicon,Neal Stephenson,1999,Avon
49150,033048205X,The Princess Diaries,Meg Cabot,2001,Macmillan Children's Books
49233,3499133709,September,Rosamunde Pilcher,0,Rowholt Verlag Gmbh
49353,0451191846,Between Friends,Sandra Kitt,1998,Signet Book
49456,0553802518,The Survivors Club,LISA GARDNER,2002,Bantam
49470,0812532570,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1987,Tor Books
49688,0553569295,The Mask,Steve Perry,1994,Bantam Books
49702,0060008296,Courting Trouble,Lisa Scottoline,2002,HarperAudio
49936,0786011440,Cradle and All,Zachary Alan Fox,2000,Pinnacle Books
50111,0553269739,Franny and Zooey,J. D. Salinger,1981,Bantam
50150,0786817879,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2003,Miramax Kids
50300,0679412611,Plain Jane,Eve Horowitz,1992,Random House Inc
50341,0399143629,Critical Mass,Steven Paul Martini,1998,Putnam Pub Group
50345,0679457143,The Cobra Event,Richard Preston,1997,Random House Inc
50348,0786865636,Middle of Nowhere,Ridley Pearson,2000,Hyperion
50350,0399148817,Sleep No More,Greg Iles,2002,Putnam Adult
50356,039913879X,Fatal Cure,Robin Cook,1994,Putnam Pub Group
50358,0060194448,The Wailing Wind,Tony Hillerman,2002,HarperCollins Publishers
50421,0099201410,Breathing Lessons,Anne Tyler,0,Trafalgar Square
50428,0002558122,Angelas Ashes,Frank Mccourt,0,Harpercollins Australia
50528,0395362962,The Wasp Factory,Iain Banks,1984,Houghton Mifflin
50577,0553076256,Half Asleep in Frog Pajamas,Tom Robbins,1994,Bantam Books
50655,051513449x,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Jove Books
50790,0345325338,The Outside Man,Richard North Patterson,1985,Ballantine Books
50827,0694525332,Bel Canto,Ann Patchett,2001,HarperAudio
50982,0345420748,While I Was Gone,Sue Miller,2002,Ballantine Books
50987,0451523504,The Scarlet Letter,Nathaniel Hawthorne,1959,New Amer Library Classics
51062,225317114X,Invasion,Robin Cook,2000,LGF
51098,0399146164,Riptide,Catherine Coulter,2000,Putnam Publishing Group
51157,0375431624,Skipping Christmas,JOHN GRISHAM,2001,Random House Large Print
51202,0140238212,Pride and Prejudice,Jane Austen,1995,Penguin Books Ltd
51225,0670032549,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,2003,Viking Books
51245,0460010212,Sense and Sensibility,Jane Austen,1979,J m Dent &amp; Sons Ltd
51357,0099271273,The Rainmaker,John Grisham,1998,Arrow
51397,1860498280,Slammerkin,Emma Donoghue,2000,Trafalgar Square
51539,0451157486,Atlas Shrugged,Ayn Rand,1982,Penguin Putnam~mass
51590,0553479148,The Long Road Home,Danielle Steel,1998,Random House Audio Publishing Group
